idf.kw,epw.id,energy.elec.GJ,energy.gas.GJ,prototype.m2,elec.GJ.per.m2,gas.GJ.per.m2,building.type,vintage,idf.name
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,76,1196.58972657555,1195.3140881290067,511.15,2.3409756951492713,2.338480070681809,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,77,1198.9596862448932,1195.3122747718442,511.15,2.3456122199841403,2.3384765230790263,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,77,1198.9596862448932,1195.3122747718442,511.15,2.3456122199841403,2.3384765230790263,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,78,1200.7733988437158,1195.3116817821692,511.15,2.3491605181330644,2.3384753629701054,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,78,1200.7733988437158,1195.3116817821692,511.15,2.3491605181330644,2.3384753629701054,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,79,1199.9981397362876,1195.3122401486826,511.15,2.347643822236697,2.3384764553432116,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,79,1199.9981397362876,1195.3122401486826,511.15,2.347643822236697,2.3384764553432116,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,80,1195.6795131246497,1195.3138757582446,511.15,2.3391949782346666,2.3384796552054086,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,80,1195.6795131246497,1195.3138757582446,511.15,2.3391949782346666,2.3384796552054086,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,91,1196.5913114567215,1195.318747682562,511.15,2.3409787957678208,2.338489186506039,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,91,1196.5913114567215,1195.318747682562,511.15,2.3409787957678208,2.338489186506039,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,92,1202.5078792609263,1195.3108191104427,511.15,2.3525538085902893,2.3384736752625312,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,92,1202.5078792609263,1195.3108191104427,511.15,2.3525538085902893,2.3384736752625312,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,93,1199.8970026169327,1195.3154211238032,511.15,2.3474459603187574,2.3384826785166846,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,93,1199.8970026169327,1195.3154211238032,511.15,2.3474459603187574,2.3384826785166846,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,97,1212.813881021225,1195.3111695312605,511.15,2.3727161909835175,2.338474360816317,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,97,1212.813881021225,1195.3111695312605,511.15,2.3727161909835175,2.338474360816317,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,105,1200.6753666131776,1195.3126935289492,511.15,2.3489687305354154,2.338477342324072,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,105,1200.6753666131776,1195.3126935289492,511.15,2.3489687305354154,2.338477342324072,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,106,1202.5309558287497,1195.3120088935013,511.15,2.3525989549618505,2.3384760029218454,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,106,1202.5309558287497,1195.3120088935013,511.15,2.3525989549618505,2.3384760029218454,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,107,1202.452652613183,1195.3099137913716,511.15,2.3524457646741332,2.3384719041208486,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,107,1202.452652613183,1195.3099137913716,511.15,2.3524457646741332,2.3384719041208486,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,119,1204.1749273201415,1195.3160791429596,511.15,2.3558151762107826,2.3384839658475194,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,119,1204.1749273201415,1195.3160791429596,511.15,2.3558151762107826,2.3384839658475194,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,120,1204.1161749019238,1195.3118977418276,511.15,2.355700234572873,2.338475785467725,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,120,1204.1161749019238,1195.3118977418276,511.15,2.355700234572873,2.338475785467725,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
